is_working,state,city,street,country
working,NJ,Paterson,"265 Crooks Ave",USA
working,NJ,Carteret,"835 Roosevelt Ave",USA
working,NJ,Paramus,"1 Garden State Plaza",USA
working,NY,"Little Neck","250-01 Northern Blvd",USA
inactive,NY,Bronx,"4174 White Plains Rd",USA
working,NY,Rosedale,"244-10 Merrick Blvd",USA
working,NJ,"Little Falls","405 Us Hwy 46 East",USA
working,NJ,"West Orange","573 Northfield Ave",USA
working,NY,"Far Rockaway","2141 Mott Ave",USA
working,NJ,Paterson,"835 Market St",USA
working,NY,Bronx,"3550 Conner St",USA
working,NJ,Union,"2404 Us 22",USA
working,NJ,Rahway,"2024 Rt 1 S",USA
working,NY,Lawrence,"365 Rockaway Tpke",USA
working,NY,"Glen Oaks","256-03 Union Turnpike",USA
working,NY,Bronx,"724 E 241st St",USA
working,NJ,"Fair Lawn","3701 Broadway",USA
working,NY,Yonkers,"155 S Broadway",USA
working,NY,Yonkers,"1144 Yonkers Ave",USA
working,NY,"Mount Vernon","470 S Fulton Ave",USA
working,NJ,Paterson,"485-497 Broadway",USA
working,NY,Elmont,"1420 Hempstead Turnpike",USA
working,NY,"Mount Vernon","6 Gramatan Ave",USA
working,NY,"Valley Stream","10 W Sunrise Hwy",USA
working,NJ,Paterson,"160 Market St",USA
working,NJ,Clark,"108 Central Ave",USA
working,NY,"Franklin Square","575 Franklin Ave",USA
broken,NJ,"Woodbridge Township","753 St Georges Ave",USA
broken,NY,"Staten Island","260 Page Avenue",USA
working,NY,"West Hempstead","856 Hemp Stead Avenue",USA
working,NY,Yonkers,"336 Tuckahoe Rd",USA
working,NY,Lynbrook,"121 Merrick Rd",USA
working,NY,"New Rochelle","270-272 Main St",USA
broken,NY,"West Hempstead","380 Hempstead Turnpike",USA
working,NY,"New Rochelle","720-724 North Ave",USA
working,NJ,Paramus,"828 Rt 17 N",USA
working,NY,Yonkers,"1200 Nepperhan Ave",USA
working,NJ,Fairfield,"460 Rt 46 E",USA
working,NY,Mineola,"60 Jericho Tpke",USA
working,NJ,Woodbridge,"330 Rt 9 N",USA
working,NY,Oceanside,"31-35 Atlantic Avenue",USA
working,NJ,"Perth Amboy","633 New Brunswick Ave",USA
working,NJ,"Pine Brook","54 Rt 46 W",USA
working,NY,Hempstead,"340 Peninsula Blvd",USA
working,NJ,"East Hanover","305 Route 10 East",USA
working,NY,"Long Beach","665 Long Beach Rd",USA
working,NY,"Rockville Centre","618 Sunrise Hwy",USA
working,NJ,Wayne,"741 Hamburg Tpke",USA
working,NY,"Carle Place","95 Westbury Ave",USA
working,NY,Baldwin,"1255 Grand Ave",USA
broken,NJ,Edison,"59 Hwy 27",USA
working,NY,Mamaroneck,"1205 Old Boston Post Road",USA
working,NJ,Edison,"1511 Route 1",USA
working,NY,"Garden City","637 Stewart Ave",USA
working,NJ,"Union Beach","825 Rt 36",USA
working,NJ,Northvale,"240 Livingston St",USA
working,NJ,"Florham Park","176 Columbia Tpke",USA
